,pt,npindx,u_x1,u_eps2,u_sig2,u_k12,x1,eps2,sig2,k12,train_dist,vlugt_dist,grid_dist,hole_bool,eta_krr,eta_md,eta_md_err,BoxLength,num_particles,zeta,density
1,pt3,271,0.3,0.5,1.6,0.0499999999999999,0.25,0.0,1.0,0.9999999999999998,0.1999999999999999,0.1999999999999999,5.551115123125783e-17,True,0.4708854327272904,0.4439,0.0098,22.1713,2000,0.30432009539659505,0.18350864156819366
2,pt4,773,0.62,0.5,1.2,-0.3,0.65,0.0,0.3333333333333332,0.4615384615384614,0.0999999999999999,0.0999999999999999,0.0999999999999999,False,2.127891716424831,2.1248,0.0372,14.62,2000,0.42781395596637706,0.6400116475975752
3,pt5,574,0.4599999999999999,1.0,1.6,0.0,0.4499999999999999,1.0,1.0,0.9230769230769228,0.05,0.05,0.05,False,2.602300651863438,2.6353,0.0472,18.4201,2000,0.4476752806844795,0.3200029963814597
4,pt1,127,0.1,0.7,1.6,0.0499999999999999,0.0,0.3999999999999999,1.0,0.9999999999999998,0.1999999999999999,0.1999999999999999,0.1999999999999999,False,0.8669553882538116,0.8587,0.0245,21.9797,2000,0.37341333932433796,0.1883496052289867
5,pt2,255,0.1,0.9,1.6,0.0499999999999999,0.0,0.8,1.0,0.9999999999999998,0.1999999999999999,0.1999999999999999,0.1999999999999999,False,1.714898913099839,1.7108,0.0351,21.1303,2000,0.4202794161828837,0.21198884396349624
6,pt4,303,0.1,0.975,1.6,0.0499999999999999,0.0,0.95,1.0,0.9999999999999998,0.05,0.05,0.05,False,2.2333495637483893,2.2179,0.0376,20.9318,2000,0.4323499170762351,0.21807720192706692
7,pt5,478,0.3,0.775,1.6,0.0,0.25,0.55,1.0,0.9230769230769228,0.05,0.05,0.05,False,1.322040223683598,1.3412,0.0373,20.09,2000,0.40903860300933154,0.24665514871560443
9,pt3,112,0.1,0.6,1.3,-0.6,0.0,0.1999999999999999,0.5,0.0,0.1666666666666665,0.1666666666666665,0.1666666666666665,False,0.9134370597522392,0.9242,0.0205,18.0137,2000,0.37215088994972667,0.342153682442865
10,pt4,478,0.3,0.8,1.18,0.0,0.25,0.6000000000000001,0.2999999999999998,0.9230769230769228,0.0333333333333334,0.0333333333333334,0.0333333333333334,False,1.93873868487668,1.9215,0.0572,15.3401,2000,0.42067694069517325,0.5540454893165951
11,pt5,1138,0.7,0.8,1.57,0.0,0.75,0.6000000000000001,0.9500000000000002,0.9230769230769228,0.0499999999999998,0.0499999999999998,0.0499999999999998,False,2.189437277248522,2.1457,0.0448,16.4214,2000,0.4400853991556437,0.45164733894565634
12,pt1,60,0.1,0.5,1.6,-0.47,0.0,0.0,1.0,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1999999999999999,False,0.421146047575319,0.4278,0.0123,23.5442,2000,0.303810860348025,0.15324213032766643
15,pt4,808,0.5,0.8,1.4,-0.2424999999999999,0.5,0.6000000000000001,0.6666666666666665,0.5499999999999999,0.0884615384615384,0.0884615384615384,0.0884615384615384,False,2.814228889375844,2.8339,0.0608,16.3606,2000,0.4476481378535708,0.45670137118767956
16,pt5,210,0.1,0.8,1.6,-0.5349999999999999,0.0,0.6000000000000001,1.0,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,False,1.5121784345503486,1.5041,0.0363,21.2325,2000,0.41423969293897916,0.20894240890378435
